admin_level,state,district,block,panchayat,admin_id,latitude,longitude,grid_id,grid_lat,grid_lng,distance_km,proximity_weight,mapping_rank
District,ANDAMAN And NICOBAR ISLANDS,NICOBAR,N/A,N/A,IND_DIST_0001,12.222,92.9909,GRID_023_106,12.25,93.0,3.27,0.7291,1
District,ANDAMAN And NICOBAR ISLANDS,NICOBAR,N/A,N/A,IND_DIST_0001,12.222,92.9909,GRID_022_106,12.0,93.0,24.71,0.0964,2
District,ANDAMAN And NICOBAR ISLANDS,NICOBAR,N/A,N/A,IND_DIST_0001,12.222,92.9909,GRID_023_105,12.25,92.75,26.36,0.0904,3
District,ANDAMAN And NICOBAR ISLANDS,NICOBAR,N/A,N/A,IND_DIST_0001,12.222,92.9909,GRID_023_107,12.25,93.25,28.33,0.0841,4
District,ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,N/A,N/A,IND_DIST_0002,12.402,92.2559,GRID_024_103,12.5,92.25,10.92,0.4181,1
District,ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,N/A,N/A,IND_DIST_0002,12.402,92.2559,GRID_023_103,12.25,92.25,16.91,0.2698,2
District,ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,N/A,N/A,IND_DIST_0002,12.402,92.2559,GRID_024_104,12.5,92.5,28.66,0.1592,3
District,ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,N/A,N/A,IND_DIST_0002,12.402,92.2559,GRID_024_102,12.5,92.0,29.85,0.1529,4
District,ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,N/A,N/A,IND_DIST_0003,11.967,92.0009,GRID_022_102,12.0,92.0,3.67,0.7044,1
District,ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,N/A,N/A,IND_DIST_0003,11.967,92.0009,GRID_021_102,11.75,92.0,24.13,0.1072,2
District,ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,N/A,N/A,IND_DIST_0003,11.967,92.0009,GRID_022_103,12.0,92.25,27.34,0.0946,3
District,ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,N/A,N/A,IND_DIST_0003,11.967,92.0009,GRID_022_101,12.0,91.75,27.54,0.0939,4
District,ARUNACHAL PRADESH,LOHIT,N/A,N/A,IND_DIST_0004,27.7304,94.2616,GRID_085_111,27.75,94.25,2.46,0.7719,1
District,ARUNACHAL PRADESH,LOHIT,N/A,N/A,IND_DIST_0004,27.7304,94.2616,GRID_085_112,27.75,94.5,23.56,0.0806,2
District,ARUNACHAL PRADESH,LOHIT,N/A,N/A,IND_DIST_0004,27.7304,94.2616,GRID_084_111,27.5,94.25,25.64,0.0741,3
District,ARUNACHAL PRADESH,LOHIT,N/A,N/A,IND_DIST_0004,27.7304,94.2616,GRID_085_110,27.75,94.0,25.84,0.0735,4
District,ARUNACHAL PRADESH,EAST SIANG,N/A,N/A,IND_DIST_0005,26.4854,93.9016,GRID_080_110,26.5,94.0,9.93,0.4278,1
District,ARUNACHAL PRADESH,EAST SIANG,N/A,N/A,IND_DIST_0005,26.4854,93.9016,GRID_080_109,26.5,93.75,15.17,0.2798,2
District,ARUNACHAL PRADESH,EAST SIANG,N/A,N/A,IND_DIST_0005,26.4854,93.9016,GRID_079_110,26.25,94.0,27.95,0.1519,3
District,ARUNACHAL PRADESH,EAST SIANG,N/A,N/A,IND_DIST_0005,26.4854,93.9016,GRID_079_109,26.25,93.75,30.22,0.1405,4
District,ARUNACHAL PRADESH,SUBANSIRI F.D,N/A,N/A,IND_DIST_0006,27.2204,92.9716,GRID_083_106,27.25,93.0,4.33,0.655,1
District,ARUNACHAL PRADESH,SUBANSIRI F.D,N/A,N/A,IND_DIST_0006,27.2204,92.9716,GRID_083_105,27.25,92.75,22.15,0.1279,2
District,ARUNACHAL PRADESH,SUBANSIRI F.D,N/A,N/A,IND_DIST_0006,27.2204,92.9716,GRID_082_106,27.0,93.0,24.67,0.1149,3
District,ARUNACHAL PRADESH,SUBANSIRI F.D,N/A,N/A,IND_DIST_0006,27.2204,92.9716,GRID_083_107,27.25,93.25,27.72,0.1022,4
