date,state,district,block,latitude,longitude,nearest_grid_distance,spatial_rainfall_today,grid_rainfall_mean,grid_rainfall_std,grid_rainfall_min,grid_rainfall_max,grid_rainfall_range,spatial_rainfall_3d_sum,spatial_rainfall_7d_sum,spatial_rainfall_14d_sum,spatial_rainfall_30d_sum,spatial_rainfall_7d_mean,spatial_rainfall_14d_mean,spatial_rainfall_30d_mean,spatial_rainfall_7d_max,spatial_rainfall_14d_max,spatial_rainfall_30d_max,spatial_consecutive_dry_days,spatial_consecutive_rain_days,year,rainfall_today,rainfall_3d_sum,rainfall_7d_sum,rainfall_14d_sum,rainfall_30d_sum,rainfall_3d_mean,rainfall_7d_mean,rainfall_14d_mean,rainfall_30d_mean,rainfall_7d_max,rainfall_14d_max,rainfall_30d_max,consecutive_dry_days,consecutive_rain_days,rainfall_7d_vs_previous_7d,rainfall_14d_vs_previous_14d,rainfall_trend,month,doy,sin_day_of_year,cos_day_of_year,Nino 3.4 SST Anomaly,SOI,ONI,RONI,IOD_Index,RMM1,RMM2,amplitude,phase,onset_7d,onset_14d,onset_21d,onset_30d,break_7d,break_14d,break_21d,break_30d,heavy_rain_7d,heavy_rain_14d,heavy_rain_21d,heavy_rain_30d
2022-01-01,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,1,1,0.0172015754182605,0.9998520419557736,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-02,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,1,2,0.034398060613608,0.9994082116062598,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-03,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,1,3,0.0515843668694083,0.9986686402879996,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-04,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,1,4,0.0687554084811394,0.9976335468520452,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-05,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,1,5,0.0859061042613327,0.9963032375991964,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-06,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,9.47833828125,9.494775652885437,2.2562518893640804,6.994447708129883,12.604859352111816,5.610411643981934,9.47833828125,9.47833828125,9.47833828125,9.47833828125,1.579723046875,1.579723046875,1.579723046875,9.47833828125,9.47833828125,9.47833828125,0,1,2022,1.1185615062713623,1.1185615062713623,1.1185615062713623,1.1185615062713623,1.1185615062713623,0.3728538354237874,0.1864269177118937,0.1864269177118937,0.1864269177118937,1.1185615062713623,1.1185615062713623,1.1185615062713623,0,0,1.1185615062713623,1.1185615062713623,0.9999910600261638,1,6,0.1030313790431787,0.9946781061893646,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-07,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,0.08271067253351211,0.1173533946275711,0.20326204193563369,0.0,0.4694135785102844,0.4694135785102844,9.561048953783512,9.561048953783512,9.561048953783512,9.561048953783512,1.3658641362547874,1.3658641362547874,1.3658641362547874,9.47833828125,9.47833828125,9.47833828125,1,0,2022,6.119450569152832,7.238012075424194,7.238012075424194,7.238012075424194,7.238012075424194,2.412670691808065,1.0340017250605993,1.0340017250605993,1.0340017250605993,6.119450569152832,6.119450569152832,6.119450569152832,0,1,7.238012075424194,7.238012075424194,0.9999986184070876,1,7,0.1201261651823505,0.9927586335250792,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-08,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,21.89708981895447,21.686301231384277,2.2839291632940406,18.08060646057129,24.304790496826172,6.224184036254883,31.458138772737982,31.458138772737982,31.458138772737982,31.458138772737982,4.494019824676855,3.9322673465922477,3.9322673465922477,21.89708981895447,21.89708981895447,21.89708981895447,0,1,2022,2.8654561042785645,10.10346817970276,10.10346817970276,10.10346817970276,10.10346817970276,3.3678227265675864,1.4433525971003942,1.2629335224628448,1.2629335224628448,6.119450569152832,6.119450569152832,6.119450569152832,0,2,10.10346817970276,10.10346817970276,0.9999990102418372,1,8,0.1371854040566005,0.9905453876091832,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-09,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,41.15506073188782,38.949209690093994,11.212275171936449,25.045419692993164,55.31794738769531,30.27252769470215,63.13486122337581,72.61319950462581,72.61319950462581,72.61319950462581,10.373314214946545,8.068133278291757,8.068133278291757,41.15506073188782,41.15506073188782,41.15506073188782,0,2,2022,3.112811326980591,12.097718000411987,13.21627950668335,13.21627950668335,13.21627950668335,4.032572666803996,1.8880399295261927,1.4684755007425945,1.4684755007425945,6.119450569152832,6.119450569152832,6.119450569152832,0,3,13.21627950668335,13.21627950668335,0.9999992433579792,1,9,0.1542040475626894,0.988039023376751,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-10,Uttar Pradesh,Meerut,Daurala,29.11,77.71,12.83,12.675718692684173,11.969852209091187,7.872363588535221,2.793267250061035,24.45128631591797,21.658019065856934,75.72786924352646,85.28891819730998,85.28891819730998,85.28891819730998,12.184131171044283,8.528891819730998,8.528891819730998,41.15506073188782,41.15506073188782,41.15506073188782,0,3,2022,1.0582325458526611,7.036499977111816,14.27451205253601,14.27451205253601,14.27451205253601,2.345499992370605,2.039216007505144,1.427451205253601,1.427451205253601,6.119450569152832,6.119450569152832,6.119450569152832,0,0,14.27451205253601,14.27451205253601,0.9999992994511506,1,10,0.1711770596101998,0.985240282501282,-1.06,2.5,-0.87,-1.28,-0.2,0.0823078610419354,1.8942223387096773,2.068191648387097,6,0,0,0,0,0,0,0,0,0,0,0,0
